ticker,currency,exchange,sector,industry
MRK,USD,New York Stock Exchange,Healthcare,Drug Manufacturers‚ General
MRO,USD,New York Stock Exchange,Energy,Oil & Gas E&P
MS,USD,New York Stock Exchange,Financial Services,Capital Markets
MSCI,USD,New York Stock Exchange,Financial Services,Financial Data & Stock Exchanges
MSFT,USD,Nasdaq Global Select,Technology,Software‚ Infrastructure
MSI,USD,New York Stock Exchange,Technology,Communication Equipment
MTB,USD,New York Stock Exchange,Financial Services,Banks‚ Regional
MTD,USD,New York Stock Exchange,Healthcare,Diagnostics & Research
MU,USD,Nasdaq Global Select,Technology,Semiconductors
MXIM,USD,Nasdaq Global Select,Technology,Semiconductors
NCLH,USD,New York Stock Exchange,Consumer Cyclical,Travel Services
NDAQ,USD,Nasdaq Global Select,Financial Services,Financial Data & Stock Exchanges
NEE,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
NEM,USD,New York Stock Exchange,Basic Materials,Gold
NFLX,USD,Nasdaq Global Select,Communication Services,Entertainment
NI,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Gas
NKE,USD,New York Stock Exchange,Consumer Cyclical,Footwear & Accessories
NLOK,USD,Nasdaq Global Select,Technology,Software‚ Infrastructure
NLSN,USD,New York Stock Exchange,Industrials,Consulting Services
NOC,USD,New York Stock Exchange,Industrials,Aerospace & Defense
NOV,USD,New York Stock Exchange,Energy,Oil & Gas Equipment & Services
NOW,USD,New York Stock Exchange,Technology,Software‚ Application
NRG,USD,New York Stock Exchange,Utilities,Utilities‚ Independent Power Producers
NSC,USD,New York Stock Exchange,Industrials,Railroads
NTAP,USD,Nasdaq Global Select,Technology,Computer Hardware
NTRS,USD,Nasdaq Global Select,Financial Services,Asset Management
NUE,USD,New York Stock Exchange,Basic Materials,Steel
NVDA,USD,Nasdaq Global Select,Technology,Semiconductors
NVR,USD,New York Stock Exchange,Consumer Cyclical,Residential Construction
NWL,USD,Nasdaq Global Select,Consumer Defensive,Household & Personal Products
NWS,USD,Nasdaq Global Select,Communication Services,Broadcasting
NWSA,USD,Nasdaq Global Select,Communication Services,Broadcasting
NXPI,USD,Nasdaq Global Select,Technology,Semiconductors
O,USD,New York Stock Exchange,Real Estate,REIT‚ Retail
ODFL,USD,Nasdaq Global Select,Industrials,Trucking
OKE,USD,New York Stock Exchange,Energy,Oil & Gas Midstream
OMC,USD,New York Stock Exchange,Communication Services,Advertising Agencies
ORCL,USD,New York Stock Exchange,Technology,Software‚ Infrastructure
ORLY,USD,Nasdaq Global Select,Consumer Cyclical,Specialty Retail
OTIS,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
OXY,USD,New York Stock Exchange,Energy,Oil & Gas E&P
PAYC,USD,New York Stock Exchange,Technology,Software‚ Application
PAYX,USD,Nasdaq Global Select,Industrials,Staffing & Employment Services
PBCT,USD,Nasdaq Global Select,Financial Services,Banks‚ Regional
PCAR,USD,Nasdaq Global Select,Industrials,Farm & Heavy Construction Machinery
PEAK,USD,New York Stock Exchange,Real Estate,REIT‚ Healthcare Facilities
PEG,USD,New York Stock Exchange,Utilities,Utilities‚ Diversified
PENN,USD,Nasdaq Global Select,Consumer Cyclical,Resorts & Casinos
PEP,USD,Nasdaq Global Select,Consumer Defensive,Beverages‚ Non-Alcoholic
PFE,USD,New York Stock Exchange,Healthcare,Drug Manufacturers‚ General
PFG,USD,Nasdaq Global Select,Financial Services,Insurance‚ Diversified
PG,USD,New York Stock Exchange,Consumer Defensive,Household & Personal Products
PGR,USD,New York Stock Exchange,Financial Services,Insurance‚ Property & Casualty
PH,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
PHM,USD,New York Stock Exchange,Consumer Cyclical,Residential Construction
PKG,USD,New York Stock Exchange,Consumer Cyclical,Packaging & Containers
PKI,USD,New York Stock Exchange,Healthcare,Diagnostics & Research
PLD,USD,New York Stock Exchange,Real Estate,REIT‚ Industrial
PM,USD,New York Stock Exchange,Consumer Defensive,Tobacco
PNC,USD,New York Stock Exchange,Financial Services,Banks‚ Regional
PNR,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
PNW,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
POOL,USD,Nasdaq Global Select,Consumer Cyclical,Leisure
PPG,USD,New York Stock Exchange,Basic Materials,Specialty Chemicals
PPL,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
PRGO,USD,New York Stock Exchange,Healthcare,Drug Manufacturers‚ Specialty & Generic
PRU,USD,New York Stock Exchange,Financial Services,Insurance‚ Life
PSA,USD,New York Stock Exchange,Real Estate,REIT‚ Industrial
PSX,USD,New York Stock Exchange,Energy,Oil & Gas Refining & Marketing
PTC,USD,Nasdaq Global Select,Technology,Software‚ Application
PVH,USD,New York Stock Exchange,Consumer Cyclical,Apparel Manufacturing
PWR,USD,New York Stock Exchange,Industrials,Engineering & Construction
PXD,USD,New York Stock Exchange,Energy,Oil & Gas E&P
PYPL,USD,Nasdaq Global Select,Financial Services,Credit Services
QCOM,USD,Nasdaq Global Select,Technology,Semiconductors
QRVO,USD,Nasdaq Global Select,Technology,Semiconductors
RCL,USD,New York Stock Exchange,Consumer Cyclical,Travel Services
RE,USD,New York Stock Exchange,Financial Services,Insurance‚ Reinsurance
REG,USD,Nasdaq Global Select,Real Estate,REIT‚ Retail
REGN,USD,Nasdaq Global Select,Healthcare,Biotechnology
RF,USD,New York Stock Exchange,Financial Services,Banks‚ Regional
RHI,USD,New York Stock Exchange,Industrials,Staffing & Employment Services
RJF,USD,New York Stock Exchange,Financial Services,Capital Markets
RL,USD,New York Stock Exchange,Consumer Cyclical,Apparel Manufacturing
RMD,USD,New York Stock Exchange,Healthcare,Medical Instruments & Supplies
ROK,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
ROL,USD,New York Stock Exchange,Consumer Cyclical,Personal Services
ROP,USD,New York Stock Exchange,Industrials,Specialty Industrial Machinery
ROST,USD,Nasdaq Global Select,Consumer Cyclical,Apparel Retail
RSG,USD,New York Stock Exchange,Industrials,Waste Management
RTX,USD,New York Stock Exchange,Industrials,Aerospace & Defense
SBAC,USD,Nasdaq Global Select,Real Estate,REIT‚ Specialty
SBUX,USD,Nasdaq Global Select,Consumer Cyclical,Restaurants
SCHW,USD,New York Stock Exchange,Financial Services,Capital Markets
SEE,USD,New York Stock Exchange,Consumer Cyclical,Packaging & Containers
SHW,USD,New York Stock Exchange,Basic Materials,Specialty Chemicals
SIVB,USD,Nasdaq Global Select,Financial Services,Banks‚ Regional
SJM,USD,New York Stock Exchange,Consumer Defensive,Packaged Foods
SLB,USD,New York Stock Exchange,Energy,Oil & Gas Equipment & Services
SNA,USD,New York Stock Exchange,Industrials,Tools & Accessories
SNPS,USD,Nasdaq Global Select,Technology,Software‚ Infrastructure
SO,USD,New York Stock Exchange,Utilities,Utilities‚ Regulated Electric
